id,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class_number_of_rings,shell_humidity_weight
3614,I,0.43,0.34,0.11,0.3645,0.159,0.0855,0.105,7,0.1
3615,M,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17,0.32
3616,I,0.515,0.395,0.125,0.556,0.2695,0.096,0.17,8,0.12
3617,I,0.51,0.395,0.155,0.5395,0.2465,0.1085,0.167,8,0.13
3618,F,0.695,0.55,0.185,1.679,0.805,0.4015,0.3965,10,0.48
3619,F,0.56,0.455,0.125,0.943,0.344,0.129,0.375,21,0.22
3620,I,0.415,0.325,0.1,0.4665,0.2285,0.1065,0.114,7,0.12
3621,F,0.69,0.545,0.205,1.933,0.7855,0.429,0.498,13,0.65
3622,I,0.17,0.125,0.055,0.0235,0.009,0.0055,0.008,6,0.01
3623,M,0.54,0.405,0.125,0.891,0.4815,0.1915,0.202,9,0.21
3624,F,0.48,0.365,0.135,0.6395,0.2945,0.113,0.175,8,0.17
3625,M,0.57,0.45,0.16,0.8615,0.3725,0.2175,0.255,12,0.23
3626,I,0.315,0.23,0.07,0.164,0.0625,0.04,0.045,6,0.06
3627,I,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,10,0.1
3628,I,0.29,0.21,0.06,0.1195,0.056,0.0235,0.03,6,0.03
3629,M,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,7,0.1
3630,I,0.485,0.39,0.125,0.591,0.287,0.141,0.12,9,0.18
3631,M,0.44,0.335,0.11,0.394,0.157,0.096,0.122,9,0.12
3632,I,0.525,0.4,0.13,0.6455,0.325,0.1245,0.17,8,0.15
3633,F,0.665,0.505,0.165,1.349,0.5985,0.3175,0.36,9,0.39
3634,M,0.69,0.525,0.2,1.7825,0.9165,0.3325,0.461,12,0.4
3635,F,0.55,0.43,0.14,0.7135,0.2565,0.186,0.225,9,0.23
3636,M,0.58,0.445,0.135,0.814,0.3775,0.1915,0.22,9,0.22
3637,I,0.45,0.335,0.115,0.3935,0.195,0.071,0.11,7,0.09
3638,F,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11,0.14
3639,M,0.45,0.325,0.115,0.4305,0.2235,0.0785,0.1155,8,0.09
3640,I,0.355,0.255,0.08,0.187,0.078,0.0505,0.058,7,0.05
3641,M,0.68,0.54,0.155,1.534,0.671,0.379,0.384,10,0.48
3642,M,0.505,0.4,0.135,0.723,0.377,0.149,0.178,7,0.17
3643,I,0.24,0.18,0.055,0.0555,0.0235,0.013,0.018,4,0.01
3644,F,0.645,0.49,0.16,1.144,0.5015,0.289,0.319,8,0.32
3645,M,0.58,0.46,0.13,0.921,0.357,0.181,0.29,13,0.27
3646,M,0.635,0.49,0.16,1.101,0.534,0.1865,0.3455,10,0.22
3647,I,0.46,0.35,0.115,0.4155,0.18,0.098,0.1175,7,0.12
3648,M,0.55,0.41,0.15,0.785,0.282,0.186,0.275,12,0.23
3649,F,0.605,0.515,0.17,1.289,0.6,0.2945,0.3315,9,0.36
3650,I,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,4,0.04
3651,M,0.57,0.45,0.145,0.95,0.4005,0.2235,0.2845,10,0.26
3652,M,0.55,0.42,0.16,1.3405,0.6325,0.311,0.344,10,0.36
3653,F,0.66,0.495,0.21,1.548,0.724,0.3525,0.3925,10,0.43
3654,M,0.47,0.36,0.105,0.544,0.27,0.1395,0.129,7,0.15
3655,I,0.325,0.25,0.08,0.176,0.0595,0.0355,0.063,7,0.05
3656,F,0.555,0.425,0.14,0.963,0.44,0.224,0.24,7,0.28
3657,F,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,12,0.33
3658,M,0.645,0.505,0.185,1.463,0.592,0.3905,0.416,10,0.46
3659,F,0.525,0.41,0.135,0.7085,0.293,0.1525,0.235,11,0.18
3660,F,0.685,0.53,0.17,1.5105,0.7385,0.3525,0.3725,10,0.4
3661,M,0.505,0.385,0.15,0.6415,0.246,0.152,0.215,12,0.18
3662,M,0.65,0.52,0.155,1.368,0.6185,0.288,0.365,9,0.38
3663,M,0.46,0.34,0.135,0.495,0.1655,0.117,0.185,10,0.14
3664,F,0.64,0.505,0.165,1.2235,0.5215,0.2695,0.36,10,0.34
3665,F,0.675,0.57,0.225,1.587,0.739,0.2995,0.435,10,0.41
3666,I,0.52,0.41,0.14,0.5995,0.242,0.1375,0.182,11,0.18
3667,M,0.55,0.44,0.135,0.879,0.368,0.2095,0.265,10,0.25
3668,I,0.52,0.38,0.14,0.525,0.1775,0.115,0.185,11,0.16
3669,I,0.45,0.335,0.11,0.4195,0.181,0.085,0.1345,7,0.1
3670,I,0.465,0.355,0.12,0.5805,0.255,0.0915,0.184,8,0.14
3671,I,0.6,0.445,0.175,1.057,0.383,0.216,0.355,16,0.32
3672,M,0.48,0.37,0.1,0.5135,0.243,0.1015,0.135,8,0.14
3673,F,0.53,0.425,0.13,0.717,0.2115,0.166,0.255,13,0.25
3674,M,0.59,0.44,0.15,0.9555,0.366,0.2425,0.295,11,0.29
3675,F,0.545,0.41,0.115,0.6765,0.29,0.158,0.22,9,0.17
3676,F,0.595,0.47,0.155,1.121,0.4515,0.178,0.155,11,0.51
3677,I,0.37,0.275,0.1,0.22,0.094,0.045,0.065,7,0.06
3678,I,0.475,0.36,0.11,0.452,0.191,0.099,0.13,8,0.13
3679,I,0.54,0.425,0.13,0.7205,0.2955,0.169,0.225,10,0.2
3680,M,0.525,0.4,0.155,0.707,0.282,0.1605,0.225,9,0.2
3681,M,0.265,0.2,0.065,0.084,0.034,0.0105,0.03,7,0.02
3682,M,0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,9,0.07
3683,F,0.585,0.445,0.14,0.913,0.4305,0.2205,0.253,10,0.23
3684,I,0.535,0.4,0.145,0.705,0.3065,0.1365,0.22,10,0.18
3685,I,0.57,0.425,0.14,0.7655,0.331,0.14,0.24,10,0.19
3686,M,0.575,0.47,0.165,0.853,0.292,0.179,0.35,16,0.21
3687,F,0.47,0.36,0.1,0.4705,0.1635,0.089,0.1385,8,0.17
3688,M,0.66,0.535,0.2,1.791,0.733,0.318,0.54,15,0.52
3689,F,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20,0.51
3690,M,0.445,0.345,0.09,0.3795,0.143,0.074,0.125,10,0.11
3691,F,0.63,0.48,0.165,1.2615,0.5505,0.277,0.3885,10,0.32
3692,M,0.65,0.51,0.175,1.155,0.4955,0.2025,0.385,12,0.27
3693,F,0.72,0.59,0.205,1.7495,0.7755,0.4225,0.48,11,0.49
3694,M,0.58,0.465,0.15,0.9065,0.371,0.1965,0.29,8,0.25
3695,F,0.585,0.45,0.16,1.077,0.4995,0.2875,0.25,10,0.33
3696,I,0.6,0.445,0.175,1.057,0.383,0.216,0.355,16,0.32
3697,F,0.44,0.34,0.105,0.364,0.148,0.0805,0.1175,8,0.1
3698,M,0.52,0.395,0.125,0.5815,0.2565,0.1265,0.17,10,0.15
3699,I,0.605,0.495,0.145,1.054,0.369,0.2255,0.36,12,0.33
3700,I,0.575,0.43,0.13,0.7425,0.2895,0.2005,0.22,8,0.23
3701,I,0.5,0.385,0.12,0.516,0.197,0.1305,0.165,8,0.15
3702,M,0.69,0.55,0.18,1.6915,0.6655,0.402,0.5,11,0.53
3703,F,0.555,0.44,0.14,0.846,0.346,0.1715,0.2735,10,0.23
3704,I,0.255,0.185,0.07,0.075,0.028,0.018,0.025,6,0.02
3705,I,0.62,0.49,0.16,1.066,0.446,0.246,0.305,11,0.32
3706,M,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01,3,0.01
3707,I,0.52,0.41,0.145,0.646,0.2965,0.1595,0.165,9,0.18
3708,M,0.625,0.47,0.145,1.7855,0.675,0.247,0.3245,13,0.79
3709,F,0.62,0.465,0.14,1.011,0.479,0.2385,0.255,8,0.28
3710,I,0.365,0.275,0.085,0.223,0.098,0.0375,0.075,7,0.05
3711,M,0.525,0.38,0.125,0.65,0.303,0.155,0.159,7,0.19
3713,M,0.585,0.465,0.155,0.9145,0.4555,0.1965,0.235,9,0.22
3714,I,0.66,0.525,0.215,1.786,0.6725,0.3615,0.4065,11,0.71
3715,M,0.48,0.36,0.1,0.439,0.194,0.099,0.115,8,0.13
3716,M,0.625,0.52,0.175,1.4105,0.691,0.322,0.3465,10,0.37
3717,I,0.235,0.175,0.04,0.0705,0.0335,0.015,0.02,5,0.02
3718,F,0.44,0.34,0.135,0.3975,0.1505,0.0945,0.135,8,0.11
3719,I,0.585,0.45,0.135,0.855,0.3795,0.187,0.26,9,0.22
3720,F,0.675,0.55,0.175,1.689,0.694,0.371,0.474,13,0.52
3721,F,0.6,0.47,0.19,1.1345,0.492,0.2595,0.3375,10,0.31
3722,F,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,9,0.23
3723,F,0.665,0.505,0.165,1.349,0.5985,0.3175,0.36,9,0.39
3724,F,0.49,0.385,0.16,0.656,0.2455,0.171,0.205,9,0.21
3725,I,0.435,0.33,0.125,0.406,0.1685,0.1055,0.096,12,0.14
3726,I,0.405,0.3,0.11,0.32,0.172,0.044,0.093,7,0.06
3727,F,0.64,0.5,0.15,1.0705,0.371,0.2705,0.36,8,0.34
3728,I,0.425,0.325,0.11,0.405,0.1695,0.092,0.1065,8,0.13
3729,I,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,8,0.04
3730,F,0.455,0.355,1.13,0.594,0.332,0.116,0.1335,8,0.13
3731,M,0.615,0.48,0.19,1.36,0.5305,0.2375,0.47,18,0.36
3732,F,0.575,0.45,0.1,0.9315,0.431,0.222,0.235,12,0.27
3733,F,0.67,0.55,0.19,1.3905,0.5425,0.3035,0.4,12,0.45
3734,F,0.7,0.575,0.205,1.7975,0.7295,0.3935,0.5165,13,0.55
3735,M,0.46,0.375,0.14,0.5105,0.192,0.1045,0.205,9,0.11
3736,I,0.605,0.47,0.14,0.939,0.3385,0.201,0.32,13,0.28
3737,F,0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,12,0.36
3738,I,0.52,0.38,0.135,0.5395,0.2295,0.133,0.157,8,0.15
3739,I,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,7,0.06
3740,M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10,0.14
3741,F,0.515,0.4,0.17,0.796,0.258,0.1755,0.28,16,0.26
3742,F,0.635,0.5,0.175,1.477,0.684,0.3005,0.39,12,0.4
3743,I,0.285,0.22,0.065,0.096,0.0405,0.0205,0.03,5,0.03
3744,F,0.335,0.22,0.07,0.17,0.076,0.0365,0.05,6,0.04
3745,I,0.53,0.43,0.13,0.7045,0.346,0.1415,0.189,9,0.17
3746,M,0.67,0.54,0.175,1.482,0.739,0.2925,0.365,10,0.38
3747,I,0.48,0.355,0.115,0.4725,0.2065,0.112,0.132,8,0.13
3748,M,0.425,0.325,0.12,0.3755,0.142,0.1065,0.105,9,0.13
3749,M,0.6,0.465,0.165,1.038,0.4975,0.2205,0.251,9,0.29
3750,M,0.495,0.4,0.12,0.6605,0.2605,0.161,0.19,15,0.21
3751,M,0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54,10,0.47
3752,M,0.65,0.5,0.155,1.202,0.565,0.3135,0.294,11,0.34
3753,F,0.67,0.52,0.15,1.406,0.519,0.348,0.37,13,0.52
3754,F,0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52,19,0.48
3755,M,0.6,0.475,0.19,1.0875,0.403,0.2655,0.325,14,0.36
3756,M,0.585,0.45,0.18,0.7995,0.336,0.1855,0.237,8,0.23
3757,I,0.46,0.345,0.105,0.415,0.187,0.087,0.11,8,0.12
3758,I,0.355,0.27,0.1,0.2255,0.11,0.042,0.064,7,0.05
3759,F,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,9,0.14
3760,I,0.435,0.375,0.11,0.4155,0.17,0.076,0.145,8,0.1
3761,F,0.605,0.485,0.16,1.201,0.417,0.2875,0.38,9,0.4
3762,I,0.555,0.455,0.17,0.8435,0.309,0.1905,0.3,15,0.23
3763,I,0.41,0.31,0.11,0.315,0.124,0.082,0.095,9,0.1
3764,M,0.71,0.55,0.2,1.9045,0.882,0.44,0.5,13,0.52
3765,I,0.51,0.385,0.145,0.7665,0.3985,0.14,0.1805,8,0.19
3766,I,0.55,0.42,0.155,0.912,0.495,0.1805,0.205,9,0.21
3767,M,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19,0.56
3768,F,0.625,0.5,0.165,1.288,0.573,0.3035,0.315,9,0.4
3769,I,0.5,0.36,0.12,0.439,0.1875,0.1055,0.1305,8,0.12
3770,F,0.61,0.495,0.185,1.153,0.536,0.2905,0.245,8,0.37
3771,I,0.42,0.3,0.105,0.316,0.1255,0.07,0.1035,7,0.09
3772,F,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565,17,0.52
3773,I,0.535,0.41,0.13,0.6075,0.268,0.1225,0.1975,9,0.14
3774,I,0.5,0.375,0.145,0.5795,0.239,0.1375,0.185,9,0.16
3775,F,0.62,0.48,0.165,1.0125,0.5325,0.4365,0.324,10,0.16
3776,I,0.32,0.235,0.065,0.1385,0.058,0.0225,0.05,5,0.03
3777,I,0.275,0.2,0.055,0.0925,0.038,0.021,0.026,4,0.03
3778,M,0.685,0.505,0.19,1.533,0.667,0.4055,0.41,10,0.46
3779,F,0.625,0.485,0.15,1.0945,0.531,0.261,0.296,10,0.27
3780,I,0.3,0.22,0.09,0.1425,0.057,0.0335,0.043,7,0.04
3781,I,0.43,0.315,0.115,0.384,0.1885,0.0715,0.11,8,0.09
3782,M,0.525,0.405,0.12,0.7555,0.3755,0.1555,0.201,9,0.18
3783,M,0.595,0.475,0.14,1.0305,0.4925,0.217,0.278,10,0.26
3784,M,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10,0.14
3785,I,0.235,0.16,0.04,0.048,0.0185,0.018,0.015,5,0.01
3786,F,0.58,0.45,0.235,1.071,0.3,0.206,0.395,14,0.38
3787,M,0.735,0.585,0.185,2.124,0.952,0.55,0.5,11,0.67
3788,F,0.55,0.47,0.15,0.897,0.377,0.184,0.29,9,0.23
3789,M,0.53,0.425,0.13,0.702,0.2975,0.1395,0.22,9,0.18
3790,M,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,9,0.1
3791,I,0.44,0.35,0.12,0.375,0.1425,0.0965,0.115,9,0.12
3792,F,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18,8,0.21
3793,M,0.585,0.455,0.225,1.055,0.3815,0.221,0.365,15,0.31
3794,F,0.705,0.55,0.17,1.219,0.6395,0.236,0.301,9,0.28
3795,M,0.575,0.47,0.15,1.1415,0.4515,0.204,0.4,13,0.29
3796,M,0.57,0.435,0.13,0.7535,0.349,0.1755,0.194,10,0.21
3797,I,0.465,0.37,0.115,0.534,0.261,0.098,0.143,7,0.13
3798,M,0.605,0.5,0.175,1.098,0.4765,0.232,0.375,12,0.25
3799,M,0.28,0.205,0.1,0.1165,0.0545,0.0285,0.03,5,0.03
3800,M,0.62,0.525,0.155,1.085,0.454,0.1965,0.35,10,0.28
3801,I,0.33,0.25,0.075,0.1405,0.056,0.035,0.05,5,0.03
3802,F,0.62,0.48,0.165,1.043,0.4835,0.221,0.31,10,0.25
3803,F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10,0.21
3804,I,0.33,0.26,0.085,0.1965,0.0915,0.0425,0.055,7,0.05
3805,F,0.46,0.375,0.12,0.4915,0.2205,0.088,0.17,7,0.1
3806,F,0.61,0.465,0.16,1.0725,0.4835,0.2515,0.28,10,0.31
3807,M,0.625,0.5,0.13,1.082,0.5785,0.2045,0.25,8,0.25
3808,F,0.725,0.56,0.21,2.141,0.65,0.398,1.005,18,0.49
3809,I,0.28,0.205,0.08,0.127,0.052,0.039,0.042,9,0.03
3810,F,0.675,0.55,0.18,1.6885,0.562,0.3705,0.6,15,0.53
3811,I,0.365,0.27,0.085,0.2225,0.0935,0.0525,0.066,7,0.06
3812,M,0.65,0.505,0.17,1.5595,0.695,0.3515,0.395,11,0.47
3813,M,0.385,0.3,0.095,0.24,0.0885,0.059,0.085,9,0.07
3814,M,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,10,0.3
3815,F,0.63,0.485,0.17,1.3205,0.5945,0.345,0.345,9,0.38
3816,I,0.405,0.29,0.09,0.2825,0.112,0.075,0.0815,7,0.09
3817,F,0.625,0.5,0.175,1.273,0.564,0.302,0.374,9,0.33
3818,I,0.275,0.2,0.07,0.096,0.037,0.0225,0.03,6,0.03
3819,F,0.59,0.455,0.15,0.976,0.465,0.2055,0.2765,10,0.23
3820,M,0.6,0.45,0.145,0.877,0.4325,0.155,0.24,9,0.2
3821,F,0.725,0.56,0.185,1.792,0.873,0.367,0.435,11,0.48
3822,M,0.43,0.345,0.115,0.3045,0.0925,0.055,0.12,11,0.09
3823,M,0.56,0.45,0.16,0.922,0.432,0.178,0.26,15,0.23
3824,I,0.37,0.28,0.095,0.2865,0.1505,0.069,0.0795,7,0.06
3825,M,0.605,0.475,0.14,1.1175,0.555,0.257,0.274,9,0.29
3826,M,0.585,0.465,0.15,0.98,0.4315,0.2545,0.247,9,0.3
3827,I,0.335,0.245,0.09,0.1665,0.0595,0.04,0.06,6,0.05
3828,M,0.555,0.46,0.16,0.86,0.3345,0.1935,0.275,10,0.25
3829,I,0.44,0.31,0.115,0.3625,0.134,0.082,0.12,11,0.11
3830,M,0.565,0.455,0.155,0.9355,0.421,0.183,0.26,11,0.25
3831,M,0.57,0.48,0.175,1.185,0.474,0.261,0.38,11,0.33
3832,M,0.72,0.565,0.19,2.081,1.0815,0.4305,0.503,11,0.5
3833,F,0.645,0.52,0.18,1.285,0.5775,0.352,0.317,9,0.39
3834,M,0.635,0.515,0.165,1.229,0.5055,0.2975,0.3535,10,0.37
3835,M,0.67,0.545,0.2,1.7025,0.833,0.374,0.41,11,0.46
3836,I,0.39,0.29,0.1,0.2225,0.095,0.0465,0.073,7,0.05
3837,I,0.41,0.305,0.1,0.2645,0.1,0.0655,0.085,7,0.08
3838,F,0.5,0.395,0.14,0.7155,0.3165,0.176,0.24,10,0.16
3839,I,0.4,0.31,0.115,0.314,0.1545,0.0595,0.087,6,0.07
3840,F,0.655,0.525,0.175,1.348,0.5855,0.2605,0.394,10,0.37
3841,F,0.64,0.5,0.17,1.2645,0.565,0.3375,0.315,9,0.38
3842,M,0.69,0.54,0.185,1.71,0.7725,0.3855,0.4325,8,0.51
3843,M,0.405,0.305,0.12,0.3185,0.1235,0.0905,0.095,7,0.1
3844,I,0.39,0.285,0.1,0.281,0.1275,0.062,0.077,7,0.08
3845,M,0.695,0.53,0.19,1.726,0.7625,0.436,0.455,11,0.51
3846,F,0.6,0.465,0.155,1.04,0.4755,0.25,0.28,11,0.28
3847,M,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46,23,0.41
3848,F,0.67,0.505,0.205,1.3645,0.6075,0.3025,0.353,9,0.4
3849,F,0.69,0.55,0.18,1.659,0.8715,0.2655,0.4395,9,0.35
3850,F,0.5,0.375,0.115,0.5945,0.185,0.148,0.19,11,0.22
3851,I,0.275,0.2,0.065,0.092,0.0385,0.0235,0.027,5,0.03
3852,F,0.69,0.555,0.205,1.8165,0.7785,0.4395,0.515,19,0.52
3853,M,0.205,0.155,0.045,0.0425,0.017,0.0055,0.0155,7,0.01
3854,F,0.575,0.435,0.155,0.8975,0.4115,0.2325,0.23,9,0.26
3855,M,0.66,0.525,0.2,1.489,0.6065,0.3795,0.421,10,0.46
3856,M,0.73,0.575,0.21,2.069,0.9285,0.409,0.643,11,0.5
3857,I,0.615,0.475,0.13,0.8425,0.353,0.1915,0.251,8,0.24
3858,F,0.595,0.455,0.14,0.914,0.3895,0.2225,0.271,9,0.25
3859,I,0.16,0.11,0.025,0.018,0.0065,0.0055,0.005,3,0.01
3860,I,0.635,0.5,0.18,1.319,0.5485,0.292,0.49,16,0.28
3861,F,0.59,0.44,0.14,1.007,0.4775,0.2105,0.2925,9,0.24
3862,F,0.415,0.325,0.115,0.3455,0.1405,0.0765,0.11,9,0.09
3863,M,0.315,0.25,0.09,0.203,0.0615,0.037,0.0795,11,0.06
3864,M,0.51,0.39,0.125,0.6565,0.262,0.1835,0.175,10,0.22
3865,F,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,22,0.27
3866,M,0.655,0.58,0.205,2.0805,0.959,0.3415,0.601,17,0.52
3867,I,0.555,0.43,0.14,0.7665,0.341,0.165,0.23,9,0.2
3868,M,0.685,0.545,0.205,1.7925,0.8145,0.416,0.461,9,0.52
3869,M,0.485,0.365,0.155,1.029,0.4235,0.2285,0.313,8,0.29
3870,I,0.6,0.445,0.175,1.057,0.383,0.216,0.355,16,0.32
3871,F,0.525,0.41,0.15,0.708,0.274,0.151,0.25,12,0.18
3872,I,0.385,0.28,0.095,0.257,0.119,0.059,0.07,7,0.07
3873,M,0.63,0.49,0.155,1.229,0.535,0.29,0.335,11,0.36
3874,I,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,5,0.03
3875,M,0.625,0.47,0.175,1.179,0.605,0.258,0.271,9,0.3
3876,M,0.67,0.54,0.195,1.217,0.532,0.2735,0.3315,11,0.35
3877,I,0.385,0.3,0.125,0.343,0.1705,0.0735,0.081,7,0.09
3878,I,0.23,0.17,0.05,0.057,0.026,0.013,0.016,5,0.02
3879,M,0.275,0.2,0.08,0.099,0.037,0.024,0.03,5,0.03
3880,M,0.655,0.525,0.185,1.259,0.487,0.2215,0.445,20,0.33
3881,F,0.58,0.46,0.15,0.9955,0.429,0.212,0.26,19,0.31
3882,F,0.405,0.325,0.11,0.3575,0.145,0.0725,0.11,12,0.1
3883,F,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,10,0.46
3884,I,0.375,0.28,0.085,0.2145,0.0855,0.0485,0.072,7,0.06
3885,F,0.55,0.43,0.15,0.655,0.2635,0.122,0.221,8,0.17
3886,M,0.41,0.315,0.095,0.306,0.121,0.0735,0.09,9,0.1
3887,I,0.42,0.305,0.11,0.28,0.094,0.0785,0.0955,9,0.09
3888,I,0.455,0.335,0.105,0.422,0.229,0.0865,0.1,6,0.09
3889,F,0.58,0.45,0.155,0.93,0.385,0.246,0.265,9,0.28
3890,M,0.55,0.435,0.11,0.806,0.3415,0.203,0.215,9,0.25
3891,I,0.53,0.425,0.13,0.7675,0.419,0.1205,0.21,9,0.14
3892,M,0.6,0.485,0.175,1.2675,0.4995,0.2815,0.38,13,0.39
3893,I,0.62,0.475,0.16,0.907,0.371,0.167,0.3075,11,0.23
3894,F,0.59,0.47,0.17,0.9,0.355,0.1905,0.25,11,0.3
3895,M,0.47,0.375,0.115,0.4265,0.1685,0.0755,0.15,8,0.11
3896,F,0.41,0.325,0.105,0.3635,0.159,0.077,0.12,10,0.08
3897,I,0.57,0.45,0.145,0.751,0.2825,0.2195,0.2215,10,0.25
3898,I,0.57,0.44,0.13,0.7665,0.347,0.1785,0.202,10,0.22
3899,M,0.65,0.485,0.14,1.175,0.475,0.2435,0.215,8,0.49
3900,F,0.345,0.26,0.09,0.207,0.0775,0.0435,0.0765,10,0.05
3901,I,0.55,0.42,0.135,0.816,0.3995,0.1485,0.23,12,0.19
3902,I,0.585,0.45,0.15,0.8915,0.3975,0.2035,0.253,8,0.24
3903,F,0.62,0.51,0.205,1.3475,0.4775,0.2565,0.48,14,0.39
3904,I,0.35,0.25,0.07,0.18,0.0655,0.048,0.054,6,0.06
3905,M,0.485,0.39,0.085,0.6435,0.2945,0.103,0.198,8,0.15
3906,M,0.66,0.51,0.175,1.218,0.5055,0.303,0.37,11,0.34
3907,F,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,18,0.71
3908,I,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,9,0.04
3909,M,0.505,0.365,0.115,0.521,0.25,0.096,0.15,8,0.12
3910,F,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,7,0.04
3911,I,0.455,0.34,0.115,0.486,0.261,0.0655,0.1315,8,0.09
3912,F,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9,0.21
3913,F,0.525,0.43,0.135,0.8435,0.4325,0.18,0.1815,9,0.23
3914,M,0.63,0.495,0.175,1.2695,0.605,0.271,0.328,11,0.34
3915,I,0.39,0.3,0.1,0.2665,0.1105,0.059,0.084,7,0.07
3916,M,0.595,0.47,0.165,1.108,0.4915,0.2325,0.3345,9,0.28
3917,F,0.665,0.5,0.175,1.742,0.595,0.3025,0.725,21,0.42
3918,M,0.64,0.49,0.155,1.1285,0.477,0.269,0.34,9,0.31
3919,M,0.47,0.375,0.13,0.523,0.214,0.132,0.145,8,0.16
3920,I,0.305,0.22,0.07,0.141,0.062,0.031,0.037,5,0.04
3921,F,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,21,0.31
3922,M,0.635,0.5,0.18,1.2915,0.594,0.2695,0.37,9,0.33
3923,I,0.45,0.335,0.115,0.3935,0.195,0.071,0.11,7,0.09
3924,I,0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,6,0.11
3925,F,0.565,0.44,0.15,0.863,0.435,0.149,0.27,9,0.16
3926,M,0.61,0.48,0.14,1.031,0.4375,0.2615,0.27,8,0.32
3927,M,0.76,0.605,0.215,2.173,0.801,0.4915,0.646,13,0.73
3928,M,0.58,0.44,0.16,0.8295,0.3365,0.2005,0.2485,9,0.24
3929,M,0.38,0.29,0.12,0.283,0.1175,0.0655,0.085,9,0.08
3930,I,0.315,0.24,0.07,0.137,0.0545,0.0315,0.04,8,0.04
3931,I,0.295,0.225,0.09,0.1105,0.0405,0.0245,0.032,7,0.04
3932,F,0.535,0.405,0.125,0.927,0.26,0.1425,0.345,16,0.32
3933,M,0.58,0.45,0.145,1.0025,0.547,0.1975,0.2295,8,0.23
3934,I,0.28,0.22,0.08,0.1315,0.066,0.024,0.03,5,0.04
3935,F,0.47,0.36,0.145,0.537,0.1725,0.1375,0.195,15,0.17
3936,M,0.695,0.545,0.185,1.5715,0.6645,0.3835,0.4505,13,0.46
3937,F,0.625,0.495,0.16,1.1115,0.4495,0.2825,0.345,11,0.32
3938,I,0.265,0.195,0.06,0.092,0.0345,0.025,0.0245,6,0.03
3939,I,0.5,0.41,0.14,0.6615,0.2585,0.1625,0.196,9,0.21
3940,M,0.455,0.35,0.11,0.458,0.2,0.111,0.1305,8,0.13
3941,I,0.36,0.26,0.08,0.1795,0.074,0.0315,0.06,5,0.05
3942,M,0.6,0.47,0.13,1.0105,0.423,0.219,0.298,9,0.29
3943,F,0.56,0.435,0.125,0.8775,0.3345,0.2145,0.29,13,0.25
3944,M,0.635,0.475,0.17,1.1935,0.5205,0.2695,0.3665,10,0.31
3945,M,0.565,0.44,0.125,0.802,0.3595,0.1825,0.215,9,0.23
3946,I,0.38,0.29,0.1,0.237,0.108,0.0395,0.082,6,0.05
3947,F,0.575,0.46,0.165,1.065,0.4985,0.2145,0.2815,8,0.29
3948,F,0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835,7,0.07
3949,I,0.335,0.25,0.095,0.185,0.0795,0.0495,0.055,8,0.05
3950,I,0.455,0.34,0.115,0.486,0.261,0.0655,0.1315,8,0.09
3951,F,0.56,0.425,0.125,0.932,0.361,0.213,0.335,9,0.24
3952,I,0.345,0.285,0.1,0.2225,0.0865,0.058,0.075,8,0.06
3953,M,0.48,0.37,0.135,0.6315,0.3445,0.1015,0.161,7,0.13
3954,I,0.325,0.25,0.055,0.166,0.076,0.051,0.045,5,0.05
3955,M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7,0.1
3956,I,0.44,0.325,0.1,0.4165,0.185,0.0865,0.11,6,0.12
