id,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class_number_of_rings
779,I,0.495,0.38,0.12,0.512,0.233,0.1205,0.136,7
780,I,0.43,0.33,0.1,0.449,0.254,0.0825,0.097,6
781,I,0.48,0.36,0.125,0.542,0.2795,0.1025,0.147,7
782,F,0.48,0.38,0.145,0.59,0.232,0.141,0.23,12
783,M,0.455,0.35,0.105,0.416,0.1625,0.097,0.145,11
784,I,0.495,0.375,0.115,0.507,0.241,0.103,0.15,8
785,I,0.47,0.375,0.12,0.487,0.196,0.099,0.135,8
786,I,0.495,0.355,0.12,0.4965,0.214,0.1045,0.1495,8
787,F,0.44,0.34,0.13,0.4195,0.153,0.1155,0.13,10
788,I,0.45,0.35,0.135,0.494,0.2205,0.0945,0.1405,7
789,I,0.45,0.36,0.13,0.478,0.191,0.127,0.137,7
790,I,0.465,0.375,0.12,0.471,0.222,0.119,0.14,9
791,M,0.465,0.36,0.105,0.488,0.188,0.0845,0.19,10
792,M,0.475,0.375,0.12,0.563,0.2525,0.1205,0.185,10
793,M,0.485,0.355,0.12,0.547,0.215,0.1615,0.14,10
794,I,0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315,8
795,F,0.43,0.325,0.12,0.445,0.165,0.0995,0.155,8
796,M,0.47,0.375,0.13,0.5795,0.2145,0.164,0.195,13
797,I,0.465,0.38,0.13,0.454,0.1895,0.08,0.155,11
798,I,0.455,0.375,0.125,0.533,0.233,0.106,0.185,8
799,F,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,13
800,M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7
801,I,0.495,0.385,0.125,0.585,0.2755,0.1235,0.165,8
802,I,0.445,0.35,0.13,0.4195,0.1695,0.0945,0.1195,7
803,I,0.47,0.35,0.13,0.466,0.1845,0.099,0.145,11
804,M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10
805,I,0.485,0.385,0.13,0.568,0.2505,0.178,0.154,7
806,I,0.49,0.385,0.115,0.683,0.3265,0.1615,0.165,13
807,I,0.45,0.35,0.13,0.547,0.245,0.1405,0.1405,8
808,M,0.48,0.37,0.1,0.5135,0.243,0.1015,0.135,8
809,F,0.495,0.37,0.12,0.594,0.28,0.11,0.1375,7
810,I,0.475,0.34,0.105,0.4535,0.203,0.08,0.1465,9
811,F,0.49,0.37,0.14,0.585,0.243,0.115,0.195,10
812,M,0.43,0.335,0.115,0.406,0.166,0.0935,0.135,8
813,I,0.455,0.37,0.125,0.433,0.201,0.1265,0.145,9
814,F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10
815,M,0.465,0.355,0.12,0.5315,0.2725,0.097,0.1395,8
816,F,0.465,0.355,0.115,0.4705,0.1955,0.118,0.126,7
817,I,0.47,0.355,0.125,0.499,0.21,0.0985,0.155,8
818,M,0.46,0.36,0.125,0.547,0.2165,0.1105,0.19,8
819,I,0.455,0.325,0.135,0.82,0.4005,0.1715,0.211,8
820,I,0.465,0.355,0.105,0.442,0.2085,0.0975,0.1185,7
821,F,0.49,0.38,0.145,0.6725,0.249,0.181,0.21,10
822,F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8
823,I,0.475,0.36,0.11,0.492,0.211,0.11,0.15,8
824,I,0.455,0.345,0.105,0.4005,0.164,0.0755,0.126,8
825,F,0.455,0.355,1.13,0.594,0.332,0.116,0.1335,8
826,M,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,9
827,I,0.44,0.345,0.115,0.545,0.269,0.111,0.1305,6
828,I,0.49,0.4,0.135,0.624,0.3035,0.1285,0.169,8
829,I,0.485,0.375,0.125,0.562,0.2505,0.1345,0.1525,8
830,I,0.455,0.37,0.125,0.433,0.201,0.1265,0.145,9
831,M,0.465,0.35,0.12,0.5205,0.2015,0.1625,0.185,11
832,I,0.45,0.35,0.145,0.525,0.2085,0.1,0.1655,15
833,F,0.465,0.375,0.135,0.6,0.2225,0.129,0.23,16
834,F,0.45,0.35,0.125,0.4435,0.185,0.09,0.145,11
835,M,0.41,0.335,0.115,0.4405,0.19,0.085,0.135,8
836,I,0.455,0.35,0.105,0.4445,0.213,0.107,0.1115,7
837,I,0.415,0.325,0.1,0.4665,0.2285,0.1065,0.114,7
838,M,0.485,0.385,0.105,0.556,0.296,0.104,0.133,7
839,F,0.485,0.365,0.15,0.9145,0.4145,0.199,0.273,7
840,M,0.465,0.36,0.13,0.5265,0.2105,0.1185,0.165,10
841,I,0.475,0.35,0.1,0.4545,0.2165,0.111,0.115,7
842,M,0.465,0.35,0.14,0.5755,0.2015,0.1505,0.19,15
843,I,0.44,0.34,0.1,0.407,0.209,0.0735,0.103,7
844,F,0.45,0.345,0.115,0.496,0.1905,0.117,0.14,12
845,M,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,9
846,I,0.44,0.35,0.125,0.456,0.21,0.0955,0.131,8
847,M,0.465,0.36,0.115,0.5795,0.295,0.1395,0.12,7
848,I,0.47,0.355,0.18,0.48,0.2055,0.105,0.1505,8
849,F,0.495,0.37,0.12,0.594,0.28,0.11,0.1375,7
850,F,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265,23
851,I,0.45,0.34,0.12,0.4925,0.241,0.1075,0.12,6
852,I,0.495,0.375,0.115,0.507,0.241,0.103,0.15,8
853,I,0.43,0.33,0.1,0.449,0.254,0.0825,0.097,6
854,I,0.495,0.375,0.115,0.507,0.241,0.103,0.15,8
855,M,0.475,0.385,0.12,0.562,0.289,0.0905,0.153,8
856,I,0.475,0.355,0.105,0.468,0.201,0.1115,0.12,8
857,M,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,9
858,I,0.47,0.37,0.12,0.4705,0.1845,0.1055,0.155,12
859,M,0.48,0.36,0.1,0.439,0.194,0.099,0.115,8
860,F,0.44,0.345,0.105,0.4285,0.165,0.083,0.132,11
861,I,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125,9
862,M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11
863,I,0.455,0.36,0.115,0.457,0.2085,0.0855,0.147,10
864,M,0.47,0.35,0.1,0.4775,0.1885,0.0885,0.175,8
865,F,0.485,0.365,0.14,0.6195,0.2595,0.1445,0.177,14
866,I,0.44,0.325,0.11,0.4965,0.258,0.1195,0.1075,8
867,I,0.435,0.345,0.12,0.4475,0.221,0.112,0.125,7
868,F,0.49,0.385,0.125,0.5395,0.2175,0.128,0.165,11
869,I,0.455,0.375,0.12,0.497,0.2355,0.1055,0.1295,6
870,I,0.485,0.37,0.13,0.458,0.181,0.113,0.136,10
871,F,0.485,0.39,0.1,0.5565,0.2215,0.1155,0.185,9
872,F,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,10
873,I,0.46,0.365,0.11,0.4495,0.1755,0.102,0.15,8
874,I,0.495,0.4,0.105,0.602,0.2505,0.1265,0.19,8
875,I,0.36,0.25,0.115,0.465,0.21,0.1055,0.128,7
876,I,0.475,0.365,0.115,0.499,0.232,0.0885,0.156,10
877,I,0.45,0.36,0.125,0.45,0.191,0.0865,0.145,12
878,M,0.45,0.35,0.13,0.4655,0.2075,0.1045,0.135,8
879,M,0.39,0.28,0.125,0.564,0.3035,0.0955,0.143,7
880,F,0.44,0.345,0.105,0.4285,0.165,0.083,0.132,11
881,M,0.465,0.34,0.105,0.486,0.231,0.1035,0.1225,9
882,I,0.485,0.415,0.14,0.5705,0.25,0.134,0.185,8
883,F,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7
884,I,0.475,0.365,0.14,0.4545,0.171,0.118,0.158,8
885,F,0.465,0.375,0.135,0.6,0.2225,0.129,0.23,16
886,I,0.47,0.355,0.125,0.499,0.21,0.0985,0.155,8
887,I,0.495,0.38,0.145,0.5,0.205,0.148,0.1505,8
888,M,0.475,0.365,0.14,0.6175,0.202,0.1445,0.19,16
889,I,0.45,0.355,0.115,0.4385,0.184,0.108,0.1125,11
890,M,0.485,0.39,0.135,0.617,0.25,0.1345,0.1635,8
891,I,0.465,0.37,0.12,0.4365,0.188,0.0815,0.147,9
892,M,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,11
893,F,0.465,0.39,0.14,0.5555,0.213,0.1075,0.215,15
894,I,0.445,0.345,0.105,0.409,0.1675,0.1015,0.117,7
895,I,0.46,0.335,0.11,0.444,0.225,0.0745,0.11,8
896,I,0.47,0.37,0.11,0.5555,0.25,0.115,0.163,8
897,M,0.495,0.4,0.155,0.8085,0.2345,0.1155,0.35,6
898,M,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,6
899,M,0.455,0.35,0.105,0.401,0.1575,0.083,0.135,9
900,I,0.435,0.375,0.11,0.4155,0.17,0.076,0.145,8
901,M,0.49,0.39,0.14,0.707,0.2795,0.2185,0.18,13
902,M,0.49,0.355,0.155,0.981,0.465,0.2015,0.2505,8
903,I,0.49,0.385,0.14,0.5425,0.198,0.127,0.175,11
904,M,0.48,0.395,0.15,0.6815,0.2145,0.1405,0.2495,18
905,F,0.48,0.38,0.12,0.608,0.2705,0.1405,0.185,8
906,I,0.45,0.34,0.125,0.4045,0.171,0.07,0.1345,8
907,I,0.47,0.365,0.1,0.411,0.175,0.0855,0.135,8
908,M,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,9
909,M,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10
910,I,0.475,0.34,0.105,0.4535,0.203,0.08,0.1465,9
911,I,0.435,0.34,0.11,0.407,0.1685,0.073,0.13,10
912,F,0.435,0.35,0.125,0.459,0.197,0.1145,0.145,9
913,F,0.445,0.355,0.15,0.485,0.181,0.125,0.155,11
914,I,0.495,0.375,0.115,0.5755,0.31,0.1145,0.1395,8
915,I,0.465,0.37,0.115,0.4075,0.1515,0.0935,0.1455,9
916,F,0.48,0.4,0.125,0.759,0.2125,0.179,0.24,15
917,M,0.485,0.385,0.125,0.4775,0.2,0.0785,0.17,12
918,M,0.485,0.39,0.085,0.6435,0.2945,0.103,0.198,8
919,M,0.465,0.35,0.12,0.5205,0.2015,0.1625,0.185,11
920,M,0.485,0.39,0.135,0.617,0.25,0.1345,0.1635,8
921,M,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,6
922,M,0.46,0.355,0.11,0.415,0.215,0.082,0.13,12
923,I,0.475,0.35,0.12,0.4905,0.2035,0.13,0.135,7
924,F,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,9
925,I,0.47,0.35,0.13,0.466,0.1845,0.099,0.145,11
926,I,0.45,0.335,0.105,0.447,0.2335,0.153,0.119,7
927,I,0.435,0.33,0.125,0.406,0.1685,0.1055,0.096,12
928,M,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10
929,M,0.495,0.38,0.135,0.6295,0.263,0.1425,0.215,12
930,F,0.49,0.385,0.15,0.7865,0.241,0.14,0.24,23
931,M,0.495,0.4,0.12,0.6605,0.2605,0.161,0.19,15
932,M,0.465,0.36,0.11,0.4955,0.2665,0.085,0.121,7
933,F,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10
934,I,0.43,0.34,0.105,0.4405,0.2385,0.0745,0.1075,6
935,F,0.45,0.35,0.145,0.5425,0.1765,0.123,0.175,13
936,I,0.44,0.325,0.11,0.4965,0.258,0.1195,0.1075,8
937,F,0.495,0.41,0.125,0.7555,0.3355,0.129,0.214,9
938,I,0.44,0.35,0.125,0.456,0.21,0.0955,0.131,8
939,F,0.44,0.355,0.115,0.415,0.1585,0.0925,0.131,11
940,F,0.445,0.355,0.15,0.485,0.181,0.125,0.155,11
941,F,0.475,0.365,0.115,0.566,0.281,0.117,0.1335,7
942,I,0.47,0.355,0.18,0.48,0.2055,0.105,0.1505,8
943,I,0.455,0.35,0.135,0.5365,0.2855,0.0855,0.1325,7
944,I,0.435,0.33,0.125,0.406,0.1685,0.1055,0.096,12
945,M,0.455,0.375,0.125,0.484,0.2155,0.102,0.165,7
946,I,0.48,0.37,0.125,0.5435,0.244,0.101,0.165,9
947,M,0.475,0.36,0.14,0.5135,0.241,0.1045,0.155,8
948,F,0.475,0.36,0.12,0.5915,0.3245,0.11,0.127,6
949,M,0.465,0.355,0.12,0.5315,0.2725,0.097,0.1395,8
950,M,0.455,0.35,0.105,0.401,0.1575,0.083,0.135,9
951,M,0.455,0.35,0.12,0.4835,0.1815,0.144,0.16,11
952,I,0.475,0.365,0.115,0.459,0.2175,0.093,0.1165,7
953,M,0.45,0.335,0.14,0.478,0.1865,0.115,0.16,11
954,F,0.42,0.33,0.125,0.463,0.186,0.11,0.145,10
955,F,0.46,0.36,0.115,0.4755,0.2105,0.105,0.16,8
956,M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8
957,I,0.475,0.365,0.105,0.4175,0.1645,0.099,0.127,7
958,M,0.485,0.37,0.155,0.968,0.419,0.2455,0.2365,9
959,M,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8
960,I,0.49,0.385,0.14,0.5425,0.198,0.127,0.175,11
961,I,0.485,0.345,0.16,0.869,0.3085,0.185,0.319,9
962,F,0.435,0.35,0.105,0.4195,0.194,0.1005,0.13,7
963,M,0.485,0.37,0.155,0.968,0.419,0.2455,0.2365,9
964,I,0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665,8
965,M,0.465,0.36,0.115,0.5795,0.295,0.1395,0.12,7
966,M,0.46,0.36,0.135,0.6105,0.1955,0.107,0.235,14
967,F,0.49,0.385,0.16,0.656,0.2455,0.171,0.205,9
968,I,0.44,0.33,0.135,0.4095,0.163,0.1005,0.119,6
969,I,0.475,0.36,0.125,0.4905,0.205,0.1305,0.125,8
970,F,0.47,0.35,0.115,0.487,0.1955,0.127,0.155,8
971,M,0.47,0.35,0.1,0.4775,0.1885,0.0885,0.175,8
972,I,0.435,0.345,0.115,0.418,0.222,0.0735,0.106,7
973,I,0.495,0.375,0.12,0.614,0.2855,0.1365,0.161,8
974,M,0.465,0.355,0.12,0.5315,0.2725,0.097,0.1395,8
975,I,0.45,0.35,0.13,0.547,0.245,0.1405,0.1405,8
976,I,0.475,0.36,0.11,0.452,0.191,0.099,0.13,8
977,F,0.44,0.33,0.115,0.4005,0.143,0.113,0.12,8
978,F,0.49,0.4,0.145,0.6635,0.21,0.1295,0.2515,13
979,I,0.475,0.35,0.1,0.4545,0.2165,0.111,0.115,7
980,F,0.475,0.375,0.14,0.501,0.192,0.1175,0.175,13
981,M,0.47,0.38,0.145,0.5865,0.2385,0.144,0.185,8
982,I,0.44,0.35,0.125,0.456,0.21,0.0955,0.131,8
983,M,0.45,0.36,0.16,0.567,0.174,0.1245,0.225,12
984,I,0.465,0.355,0.105,0.442,0.2085,0.0975,0.1185,7
985,I,0.45,0.33,0.105,0.448,0.208,0.089,0.12,9
986,I,0.44,0.365,0.11,0.4465,0.213,0.089,0.1135,9
987,M,0.49,0.385,0.125,0.609,0.3065,0.096,0.1775,8
988,M,0.44,0.325,0.08,0.413,0.144,0.1015,0.13,8
989,I,0.45,0.35,0.12,0.468,0.2005,0.1065,0.1325,8
990,I,0.47,0.375,0.12,0.487,0.196,0.099,0.135,8
991,I,0.49,0.375,0.125,0.5445,0.279,0.115,0.13,8
992,M,0.455,0.355,0.135,0.4745,0.1865,0.0935,0.168,13
993,F,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9
994,M,0.45,0.355,0.115,0.478,0.18,0.1185,0.155,10
995,M,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7
996,M,0.46,0.375,0.13,0.5735,0.2505,0.119,0.195,9
997,M,0.49,0.39,0.135,0.592,0.242,0.096,0.1835,15
998,I,0.455,0.335,0.105,0.4055,0.175,0.092,0.1185,8
999,I,0.445,0.345,0.13,0.4075,0.1365,0.0645,0.18,11
1000,I,0.445,0.36,0.11,0.4235,0.182,0.0765,0.14,9
1001,I,0.44,0.325,0.11,0.4965,0.258,0.1195,0.1075,8
1002,M,0.495,0.415,0.165,0.7485,0.264,0.134,0.285,13
1003,M,0.39,0.28,0.125,0.564,0.3035,0.0955,0.143,7
1004,M,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9
1005,I,0.46,0.345,0.105,0.449,0.196,0.0945,0.1265,7
1006,M,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,11
1007,M,0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,9
1008,F,0.46,0.365,0.125,0.4785,0.206,0.1045,0.141,8
1009,M,0.47,0.38,0.145,0.5865,0.2385,0.144,0.185,8
1010,I,0.485,0.365,0.125,0.426,0.163,0.0965,0.151,8
1011,I,0.495,0.375,0.12,0.589,0.3075,0.1215,0.1405,8
1012,I,0.47,0.36,0.13,0.5225,0.198,0.1065,0.165,9
1013,M,0.475,0.36,0.1,0.4285,0.1965,0.099,0.112,7
1014,I,0.495,0.4,0.105,0.602,0.2505,0.1265,0.19,8
1015,I,0.455,0.35,0.13,0.4725,0.215,0.0745,0.15,9
1016,F,0.465,0.38,0.135,0.579,0.208,0.1095,0.22,14
1017,F,0.49,0.38,0.155,0.578,0.2395,0.1255,0.18,9
1018,M,0.465,0.36,0.105,0.488,0.188,0.0845,0.19,10
1019,I,0.465,0.355,0.12,0.5805,0.255,0.0915,0.184,8
1020,M,0.49,0.385,0.125,0.609,0.3065,0.096,0.1775,8
1021,F,0.49,0.38,0.145,0.6725,0.249,0.181,0.21,10
1022,F,0.49,0.38,0.155,0.578,0.2395,0.1255,0.18,9
1023,M,0.49,0.39,0.15,0.573,0.225,0.124,0.17,21
1024,M,0.42,0.345,0.105,0.43,0.175,0.096,0.13,7
1025,F,0.43,0.325,0.12,0.445,0.165,0.0995,0.155,8
1026,M,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,9
1027,I,0.435,0.33,0.11,0.413,0.2055,0.096,0.096,6
1028,F,0.455,0.35,0.12,0.4555,0.1945,0.1045,0.1375,7
1029,M,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,9
1030,M,0.465,0.36,0.115,0.5795,0.295,0.1395,0.12,7
1031,M,0.47,0.375,0.13,0.5795,0.2145,0.164,0.195,13
1032,M,0.47,0.375,0.12,0.5565,0.226,0.122,0.195,12
1033,I,0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,7
1034,F,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,9
1035,I,0.485,0.37,0.13,0.458,0.181,0.113,0.136,10
1036,I,0.495,0.39,0.125,0.6655,0.284,0.162,0.2,11
1037,M,0.435,0.335,0.11,0.4385,0.2075,0.0715,0.1315,7
1038,F,0.485,0.4,0.155,0.731,0.236,0.183,0.255,11
1039,M,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10
1040,M,0.475,0.385,0.145,0.6175,0.235,0.108,0.215,14
1041,M,0.48,0.365,0.13,0.5305,0.2405,0.127,0.139,8
1042,F,0.455,0.365,0.115,0.4305,0.184,0.108,0.1245,8
1043,F,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,9
1044,M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10
1045,F,0.47,0.375,0.125,0.5615,0.252,0.137,0.18,10
1046,F,0.49,0.355,0.16,0.8795,0.3485,0.215,0.2825,8
1047,I,0.43,0.325,0.09,0.425,0.217,0.087,0.095,7
1048,I,0.495,0.38,0.13,0.5125,0.2185,0.116,0.16,7
1049,I,0.475,0.36,0.11,0.4555,0.177,0.0965,0.145,9
1050,F,0.465,0.39,0.11,0.6355,0.1815,0.157,0.225,13
1051,I,0.48,0.355,0.125,0.494,0.2385,0.0835,0.15,9
1052,F,0.49,0.38,0.13,0.539,0.229,0.1355,0.165,12
1053,F,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9
1054,M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10
1055,I,0.46,0.365,0.115,0.511,0.2365,0.118,0.123,7
1056,F,0.375,0.27,0.135,0.597,0.272,0.131,0.1675,7
1057,I,0.47,0.385,0.13,0.587,0.264,0.117,0.174,8
1058,F,0.46,0.355,0.13,0.458,0.192,0.1055,0.13,13
1059,M,0.485,0.41,0.15,0.696,0.2405,0.1625,0.265,13
1060,F,0.375,0.27,0.135,0.597,0.272,0.131,0.1675,7
1061,F,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,9
1062,M,0.49,0.39,0.14,0.707,0.2795,0.2185,0.18,13
1063,I,0.45,0.35,0.14,0.474,0.21,0.109,0.1275,16
1064,I,0.485,0.375,0.14,0.521,0.2,0.123,0.17,8
1065,I,0.48,0.355,0.11,0.4495,0.201,0.089,0.14,8
1066,I,0.485,0.37,0.115,0.457,0.1885,0.0965,0.15,9
1067,I,0.475,0.355,0.115,0.5195,0.279,0.088,0.1325,7
1068,I,0.42,0.32,0.115,0.409,0.2055,0.0935,0.105,8
1069,I,0.46,0.345,0.105,0.449,0.196,0.0945,0.1265,7
1070,I,0.46,0.355,0.11,0.4255,0.2015,0.081,0.13,7
1071,F,0.485,0.39,0.1,0.5565,0.2215,0.1155,0.185,9
1072,I,0.425,0.345,0.125,0.425,0.16,0.0795,0.154,13
1073,M,0.485,0.39,0.12,0.599,0.251,0.1345,0.169,8
1074,M,0.455,0.34,0.135,0.462,0.1675,0.158,0.12,9
1075,F,0.46,0.365,0.115,0.4485,0.165,0.083,0.17,14
1076,I,0.475,0.355,0.105,0.468,0.201,0.1115,0.12,8
1077,I,0.43,0.345,0.115,0.4295,0.212,0.108,0.109,8
1078,M,0.445,0.37,0.125,0.515,0.2495,0.087,0.159,9
1079,F,0.49,0.4,0.115,0.569,0.256,0.1325,0.145,9
1080,F,0.465,0.35,0.115,0.421,0.1565,0.091,0.1345,9
1081,F,0.495,0.385,0.13,0.6905,0.3125,0.179,0.175,10
1082,F,0.475,0.35,0.115,0.487,0.194,0.1455,0.125,13
1083,I,0.46,0.365,0.11,0.4495,0.1755,0.102,0.15,8
1084,F,0.43,0.335,0.12,0.444,0.155,0.1145,0.14,13
1085,M,0.49,0.39,0.14,0.707,0.2795,0.2185,0.18,13
1086,I,0.455,0.335,0.135,0.501,0.274,0.0995,0.1065,7
1087,M,0.485,0.4,0.135,0.663,0.313,0.137,0.2,10
1088,M,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,6
1089,I,0.495,0.38,0.13,0.5125,0.2185,0.116,0.16,7
1090,M,0.485,0.37,0.13,0.526,0.2485,0.105,0.1555,6
1091,F,0.49,0.38,0.125,0.549,0.245,0.1075,0.174,10
1092,I,0.46,0.355,0.14,0.4935,0.216,0.133,0.115,13
1093,I,0.475,0.365,0.12,0.5185,0.268,0.1095,0.1365,8
1094,I,0.48,0.37,0.125,0.5435,0.244,0.101,0.165,9
1095,I,0.48,0.365,0.1,0.461,0.2205,0.0835,0.135,8
1096,I,0.485,0.415,0.14,0.5705,0.25,0.134,0.185,8
1097,I,0.43,0.33,0.1,0.449,0.254,0.0825,0.097,6
1098,I,0.445,0.345,0.105,0.409,0.1675,0.1015,0.117,7
1099,F,0.485,0.38,0.15,0.605,0.2155,0.14,0.18,15
1100,I,0.475,0.36,0.11,0.492,0.211,0.11,0.15,8
1101,M,0.48,0.375,0.145,0.777,0.216,0.13,0.17,9
1102,I,0.45,0.35,0.11,0.514,0.253,0.1045,0.14,8
1103,F,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,10
1104,F,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9
1105,I,0.495,0.37,0.125,0.4715,0.2075,0.091,0.15,8
1106,M,0.445,0.355,0.11,0.4415,0.1805,0.1035,0.1505,10
1107,I,0.49,0.385,0.12,0.591,0.271,0.1125,0.1775,9
1108,I,0.47,0.345,0.115,0.4885,0.2005,0.108,0.166,11
1109,F,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7
1110,I,0.475,0.375,0.11,0.456,0.182,0.099,0.16,9
1111,M,0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575,6
1112,I,0.465,0.355,0.09,0.4325,0.2005,0.074,0.1275,9
1113,F,0.495,0.385,0.13,0.6905,0.3125,0.179,0.175,10
1114,F,0.475,0.38,0.145,0.57,0.167,0.118,0.187,11
1115,F,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,17
1116,F,0.49,0.39,0.135,0.59,0.215,0.125,0.1845,12
1117,M,0.48,0.375,0.12,0.5895,0.2535,0.128,0.172,11
1118,I,0.485,0.355,0.13,0.581,0.245,0.132,0.168,12
1119,F,0.445,0.355,0.15,0.485,0.485,0.125,0.155,11
1120,M,0.49,0.395,0.14,0.549,0.549,0.1275,0.15,11
1121,I,0.44,0.345,0.115,0.545,0.545,0.111,0.1305,6
1122,I,0.48,0.335,0.125,0.524,0.524,0.1095,0.145,7
1123,M,0.445,0.35,0.14,0.5905,0.5905,0.158,0.19,14
